site,date,pct_cover,nms,sp
Crook Point,2013-03-09,0.05,CINMS,ANTELE
Crook Point,2014-01-15,0.05,CINMS,ANTELE
Crook Point,2014-03-26,0.1,CINMS,ANTELE
Crook Point,2014-12-05,0.15,CINMS,ANTELE
Cuyler Harbor,2002-12-31,1.35,CINMS,ANTELE
Cuyler Harbor,2003-04-13,1,CINMS,ANTELE
Cuyler Harbor,2004-01-08,1.35,CINMS,ANTELE
Cuyler Harbor,2004-05-07,1.4,CINMS,ANTELE
Cuyler Harbor,2005-01-24,1.05,CINMS,ANTELE
Cuyler Harbor,2005-04-28,0.8,CINMS,ANTELE
Cuyler Harbor,2006-01-28,1.1,CINMS,ANTELE
Cuyler Harbor,2007-01-16,0.4,CINMS,ANTELE
Cuyler Harbor,2007-05-21,0.45,CINMS,ANTELE
Cuyler Harbor,2008-01-18,0.4,CINMS,ANTELE
Cuyler Harbor,2008-05-07,0.2,CINMS,ANTELE
Cuyler Harbor,2009-01-20,0.8,CINMS,ANTELE
Cuyler Harbor,2009-04-06,0.8,CINMS,ANTELE
Cuyler Harbor,2009-11-16,0.7,CINMS,ANTELE
Cuyler Harbor,2010-04-18,1.25,CINMS,ANTELE
Cuyler Harbor,2010-12-07,0.85,CINMS,ANTELE
Cuyler Harbor,2011-12-10,0.8,CINMS,ANTELE
Cuyler Harbor,2012-03-14,0.8,CINMS,ANTELE
Cuyler Harbor,2013-01-11,1.35,CINMS,ANTELE
Cuyler Harbor,2013-03-11,1.15,CINMS,ANTELE
Cuyler Harbor,2014-01-17,1.1,CINMS,ANTELE
Cuyler Harbor,2014-03-27,0.8,CINMS,ANTELE
Cuyler Harbor,2014-12-03,1.6,CINMS,ANTELE
East Point,2002-12-04,0.28,CINMS,ANTELE
East Point,2003-03-16,0.2,CINMS,ANTELE
East Point,2003-11-22,0.24,CINMS,ANTELE
East Point,2004-04-09,0.36,CINMS,ANTELE
East Point,2004-12-09,0.04,CINMS,ANTELE
East Point,2005-05-28,0.4,CINMS,ANTELE
East Point,2006-01-15,0.24,CINMS,ANTELE
East Point,2006-12-03,0.04,CINMS,ANTELE
East Point,2007-04-11,0.12,CINMS,ANTELE
East Point,2008-01-03,0.04,CINMS,ANTELE
East Point,2008-04-10,0.16,CINMS,ANTELE
East Point,2009-01-07,0.12,CINMS,ANTELE
East Point,2009-05-28,0.2,CINMS,ANTELE
East Point,2010-01-13,0.2,CINMS,ANTELE
East Point,2011-03-16,0.32,CINMS,ANTELE
East Point,2012-01-20,0.36,CINMS,ANTELE
East Point,2012-04-12,0.88,CINMS,ANTELE
East Point,2013-01-26,0.28,CINMS,ANTELE
East Point,2013-04-06,0.4,CINMS,ANTELE
East Point,2013-11-15,0.16,CINMS,ANTELE
East Point,2014-03-16,0.36,CINMS,ANTELE
East Point,2015-04-15,0.16,CINMS,ANTELE
East Point,2015-11-25,0.08,CINMS,ANTELE
Ford Point,2002-12-05,0.13333333333333333,CINMS,ANTELE
Ford Point,2003-03-18,0.13333333333333333,CINMS,ANTELE
Ford Point,2003-11-25,0.26666666666666666,CINMS,ANTELE
Ford Point,2004-04-10,0.13333333333333333,CINMS,ANTELE
Ford Point,2004-12-14,0.14285714285714285,CINMS,ANTELE
Ford Point,2005-05-26,0.06666666666666667,CINMS,ANTELE
Ford Point,2006-01-14,0.06666666666666667,CINMS,ANTELE
Ford Point,2006-11-30,0.13333333333333333,CINMS,ANTELE
Ford Point,2007-04-15,0.13333333333333333,CINMS,ANTELE
Ford Point,2008-01-03,0.2,CINMS,ANTELE
Ford Point,2008-04-12,0,CINMS,ANTELE
Ford Point,2009-01-10,0.06666666666666667,CINMS,ANTELE
Ford Point,2009-05-27,0.06666666666666667,CINMS,ANTELE
Ford Point,2010-01-12,0.13333333333333333,CINMS,ANTELE
Ford Point,2011-03-15,0.05,CINMS,ANTELE
Ford Point,2012-01-22,0.4,CINMS,ANTELE
Ford Point,2012-05-23,0.2,CINMS,ANTELE
Ford Point,2013-01-27,0.4,CINMS,ANTELE
Ford Point,2013-04-07,0.35,CINMS,ANTELE
Ford Point,2013-11-17,0.8,CINMS,ANTELE
Ford Point,2014-03-12,0.25,CINMS,ANTELE
Ford Point,2015-04-18,0.05,CINMS,ANTELE
Ford Point,2015-11-28,0,CINMS,ANTELE
Fossil Reef,2002-12-03,0.05,CINMS,ANTELE
Fossil Reef,2003-03-13,0.1,CINMS,ANTELE
Fossil Reef,2003-11-23,0,CINMS,ANTELE
Fossil Reef,2004-04-13,0.05,CINMS,ANTELE
Fossil Reef,2004-12-12,0.05,CINMS,ANTELE
Fossil Reef,2005-05-30,0,CINMS,ANTELE
Fossil Reef,2006-01-12,0,CINMS,ANTELE
Fossil Reef,2006-12-01,0.1,CINMS,ANTELE
Fossil Reef,2007-04-13,0,CINMS,ANTELE
Fossil Reef,2008-04-13,0.05,CINMS,ANTELE
Fossil Reef,2009-01-09,0,CINMS,ANTELE
Fossil Reef,2009-05-30,0,CINMS,ANTELE
Fossil Reef,2010-01-15,0.1,CINMS,ANTELE
Fossil Reef,2011-03-18,0,CINMS,ANTELE
Fossil Reef,2012-01-18,0,CINMS,ANTELE
Fossil Reef,2012-04-15,0.1,CINMS,ANTELE
Fossil Reef,2013-04-04,0,CINMS,ANTELE
Fossil Reef,2013-11-14,0.1,CINMS,ANTELE
Fossil Reef,2014-03-15,0.05,CINMS,ANTELE
Fossil Reef,2015-04-17,0,CINMS,ANTELE
Fossil Reef,2015-11-26,0,CINMS,ANTELE
Fraser Cove,2002-11-03,2.3142857142857145,CINMS,ANTELE
Fraser Cove,2003-03-26,2.5675675675675675,CINMS,ANTELE
Fraser Cove,2003-12-08,1.25,CINMS,ANTELE
Fraser Cove,2004-03-31,0.4722222222222222,CINMS,ANTELE
Fraser Cove,2004-11-12,1.3243243243243243,CINMS,ANTELE
Fraser Cove,2005-03-08,0.9166666666666666,CINMS,ANTELE
Fraser Cove,2005-10-15,0,CINMS,ANTELE
Fraser Cove,2006-12-18,1,CINMS,ANTELE
Fraser Cove,2006-12-19,0.6,CINMS,ANTELE
Fraser Cove,2007-03-26,0.4444444444444444,CINMS,ANTELE
Fraser Cove,2008-03-20,1.1666666666666667,CINMS,ANTELE
Fraser Cove,2008-12-11,0.7297297297297297,CINMS,ANTELE
Fraser Cove,2009-04-28,1.5405405405405406,CINMS,ANTELE
Fraser Cove,2009-11-03,1.9444444444444444,CINMS,ANTELE
Fraser Cove,2010-03-24,1.5277777777777777,CINMS,ANTELE
Fraser Cove,2010-11-19,1.5675675675675675,CINMS,ANTELE
Fraser Cove,2012-01-09,2.6666666666666665,CINMS,ANTELE
Fraser Cove,2012-05-10,3.4444444444444446,CINMS,ANTELE
Fraser Cove,2012-12-11,2.9722222222222223,CINMS,ANTELE
Fraser Cove,2013-03-25,3.0555555555555554,CINMS,ANTELE
Fraser Cove,2013-11-02,3.5833333333333335,CINMS,ANTELE
Fraser Cove,2014-04-09,2.942857142857143,CINMS,ANTELE
Fraser Cove,2014-11-21,1.8108108108108107,CINMS,ANTELE
Fraser Cove,2016-01-21,1.1891891891891893,CINMS,ANTELE
Harris Point,2003-01-16,0.12,CINMS,ANTELE
Harris Point,2003-04-13,0.09090909090909091,CINMS,ANTELE
Harris Point,2004-01-05,0.08,CINMS,ANTELE
Harris Point,2004-05-08,0.04,CINMS,ANTELE
Harris Point,2005-01-22,0.12,CINMS,ANTELE
Harris Point,2005-04-29,0.08,CINMS,ANTELE
Harris Point,2006-01-27,0.04,CINMS,ANTELE
Harris Point,2007-01-18,0.24,CINMS,ANTELE
Harris Point,2007-05-18,0.04,CINMS,ANTELE
Harris Point,2008-01-21,0,CINMS,ANTELE
Harris Point,2008-05-08,0.04,CINMS,ANTELE
Harris Point,2009-01-23,0,CINMS,ANTELE
Harris Point,2009-04-03,0.04,CINMS,ANTELE
Harris Point,2009-11-15,0.08,CINMS,ANTELE
Harris Point,2010-04-19,0.04,CINMS,ANTELE
Harris Point,2010-12-05,0.08,CINMS,ANTELE
Harris Point,2011-12-12,0.08,CINMS,ANTELE
Harris Point,2012-03-16,0.16,CINMS,ANTELE
Harris Point,2013-01-10,0.44,CINMS,ANTELE
Harris Point,2013-03-10,0.24,CINMS,ANTELE
Harris Point,2014-01-16,0.32,CINMS,ANTELE
Harris Point,2014-03-28,0.2,CINMS,ANTELE
Harris Point,2014-12-06,0.24,CINMS,ANTELE
Johnsons Lee,2002-12-01,1.6666666666666667,CINMS,ANTELE
Johnsons Lee,2003-03-17,1.1333333333333333,CINMS,ANTELE
Johnsons Lee,2003-11-24,1.2666666666666666,CINMS,ANTELE
Johnsons Lee,2004-04-11,1.3333333333333333,CINMS,ANTELE
Johnsons Lee,2004-12-11,1,CINMS,ANTELE
Johnsons Lee,2005-05-27,0.8,CINMS,ANTELE
Johnsons Lee,2006-01-10,1.2666666666666666,CINMS,ANTELE
Johnsons Lee,2006-12-04,0.26666666666666666,CINMS,ANTELE
Johnsons Lee,2007-04-12,1,CINMS,ANTELE
Johnsons Lee,2008-01-03,1.0666666666666667,CINMS,ANTELE
Johnsons Lee,2008-04-09,1.4666666666666666,CINMS,ANTELE
Johnsons Lee,2009-01-11,1.7894736842105263,CINMS,ANTELE
Johnsons Lee,2009-05-26,2.6315789473684212,CINMS,ANTELE
Johnsons Lee,2010-01-11,1.5263157894736843,CINMS,ANTELE
Johnsons Lee,2011-03-14,0.8260869565217391,CINMS,ANTELE
Johnsons Lee,2012-01-17,1.75,CINMS,ANTELE
Johnsons Lee,2012-04-16,1.75,CINMS,ANTELE
Johnsons Lee,2013-01-22,2.3333333333333335,CINMS,ANTELE
Johnsons Lee,2013-04-03,2.5416666666666665,CINMS,ANTELE
Johnsons Lee,2013-11-16,2.75,CINMS,ANTELE
Johnsons Lee,2014-03-14,3.5833333333333335,CINMS,ANTELE
Johnsons Lee,2015-04-14,2.25,CINMS,ANTELE
Johnsons Lee,2015-11-24,1.6666666666666667,CINMS,ANTELE
Landing Cove,2002-11-19,0,CINMS,ANTELE
Landing Cove,2002-11-21,0.6,CINMS,ANTELE
Landing Cove,2003-10-24,0.05,CINMS,ANTELE
Landing Cove,2004-11-10,0.05,CINMS,ANTELE
Landing Cove,2005-11-11,0.15,CINMS,ANTELE
Landing Cove,2006-11-02,0.05,CINMS,ANTELE
Landing Cove,2007-10-25,0.06666666666666667,CINMS,ANTELE
Landing Cove,2007-10-27,0,CINMS,ANTELE
Landing Cove,2008-10-15,0,CINMS,ANTELE
Landing Cove,2008-10-17,0,CINMS,ANTELE
Landing Cove,2009-10-15,0,CINMS,ANTELE
Landing Cove,2010-10-06,0.4,CINMS,ANTELE
Landing Cove,2010-10-08,1.1,CINMS,ANTELE
Landing Cove,2011-10-23,0.5,CINMS,ANTELE
Landing Cove,2012-11-12,1,CINMS,ANTELE
Landing Cove,2013-10-18,0.55,CINMS,ANTELE
Landing Cove,2015-01-28,0.9333333333333333,CINMS,ANTELE
Middle East,2003-01-29,0,CINMS,ANTELE
Middle East,2003-04-24,0,CINMS,ANTELE
Middle East,2004-01-21,0,CINMS,ANTELE
Middle East,2005-01-06,0,CINMS,ANTELE
Middle East,2005-12-13,0,CINMS,ANTELE
Middle East,2006-03-26,0,CINMS,ANTELE
Middle East,2006-11-21,0,CINMS,ANTELE
Middle East,2007-03-16,0.08333333333333333,CINMS,ANTELE
Middle East,2007-12-20,0,CINMS,ANTELE
Middle East,2008-03-04,0,CINMS,ANTELE
Middle East,2008-11-12,0.16666666666666666,CINMS,ANTELE
Middle East,2009-03-08,0.16666666666666666,CINMS,ANTELE
Middle East,2009-12-15,0,CINMS,ANTELE
Middle East,2010-03-12,0,CINMS,ANTELE
Middle East,2010-12-02,0,CINMS,ANTELE
Middle East,2012-04-25,0.08333333333333333,CINMS,ANTELE
Middle West,2003-01-29,0.15,CINMS,ANTELE
Middle West,2003-04-24,0,CINMS,ANTELE
Middle West,2004-01-21,0.1,CINMS,ANTELE
Middle West,2005-01-06,0.1,CINMS,ANTELE
Middle West,2005-06-23,0,CINMS,ANTELE
Middle West,2005-12-13,0.1,CINMS,ANTELE
Middle West,2006-03-26,0,CINMS,ANTELE
Middle West,2006-11-21,0.05,CINMS,ANTELE
Middle West,2007-03-16,0.05,CINMS,ANTELE
Middle West,2007-12-20,0.1,CINMS,ANTELE
Middle West,2008-03-04,0.05,CINMS,ANTELE
Middle West,2008-11-12,0.05,CINMS,ANTELE
Middle West,2009-03-08,0.1,CINMS,ANTELE
Middle West,2009-12-15,0.05,CINMS,ANTELE
Middle West,2010-03-12,0,CINMS,ANTELE
Middle West,2010-12-02,0.1,CINMS,ANTELE
Middle West,2011-03-30,0,CINMS,ANTELE
Middle West,2012-04-24,0,CINMS,ANTELE
Middle West,2012-11-27,0,CINMS,ANTELE
Middle West,2013-05-03,0,CINMS,ANTELE
Middle West,2013-12-02,0,CINMS,ANTELE
Middle West,2014-11-05,0,CINMS,ANTELE
Middle West,2015-11-12,0,CINMS,ANTELE
NW Talcott,2002-12-02,0,CINMS,ANTELE
NW Talcott,2003-03-14,0.2857142857142857,CINMS,ANTELE
NW Talcott,2003-11-21,0.2,CINMS,ANTELE
NW Talcott,2004-04-12,0.05,CINMS,ANTELE
NW Talcott,2004-12-13,0,CINMS,ANTELE
NW Talcott,2005-05-29,0.1,CINMS,ANTELE
NW Talcott,2006-01-11,0,CINMS,ANTELE
NW Talcott,2006-12-02,0,CINMS,ANTELE
NW Talcott,2007-04-14,0.15,CINMS,ANTELE
NW Talcott,2008-04-11,0,CINMS,ANTELE
NW Talcott,2009-01-08,0,CINMS,ANTELE
NW Talcott,2009-05-29,0,CINMS,ANTELE
NW Talcott,2010-01-14,0,CINMS,ANTELE
NW Talcott,2011-03-17,0.04,CINMS,ANTELE
NW Talcott,2012-01-19,0.04,CINMS,ANTELE
NW Talcott,2012-05-24,0.04,CINMS,ANTELE
NW Talcott,2013-01-23,0,CINMS,ANTELE
NW Talcott,2013-04-05,0,CINMS,ANTELE
NW Talcott,2013-11-13,0,CINMS,ANTELE
NW Talcott,2014-03-13,0,CINMS,ANTELE
NW Talcott,2015-04-16,0,CINMS,ANTELE
NW Talcott,2015-11-27,0.04,CINMS,ANTELE
Orizaba Cove,2003-01-30,0.16666666666666666,CINMS,ANTELE
Orizaba Cove,2003-05-19,0,CINMS,ANTELE
Orizaba Cove,2004-01-22,0.08333333333333333,CINMS,ANTELE
Orizaba Cove,2005-12-01,0.04,CINMS,ANTELE
Orizaba Cove,2006-03-27,0.12,CINMS,ANTELE
Orizaba Cove,2007-01-03,0.32,CINMS,ANTELE
Orizaba Cove,2007-03-15,0.12,CINMS,ANTELE
Orizaba Cove,2007-12-22,0.08,CINMS,ANTELE
Orizaba Cove,2008-03-07,0.08,CINMS,ANTELE
Orizaba Cove,2008-11-26,0.32,CINMS,ANTELE
Orizaba Cove,2009-03-07,0.16,CINMS,ANTELE
Orizaba Cove,2009-12-14,0.08,CINMS,ANTELE
Orizaba Cove,2010-11-03,0,CINMS,ANTELE
Orizaba Cove,2011-03-31,0.04,CINMS,ANTELE
Orizaba Cove,2011-12-20,0.24,CINMS,ANTELE
Orizaba Cove,2014-11-19,2.08,CINMS,ANTELE
Otter Harbor,2003-01-15,0,CINMS,ANTELE
Otter Harbor,2003-04-12,0,CINMS,ANTELE
Otter Harbor,2004-01-06,0,CINMS,ANTELE
Otter Harbor,2004-05-10,0,CINMS,ANTELE
Otter Harbor,2005-01-21,0,CINMS,ANTELE
Otter Harbor,2005-05-01,0,CINMS,ANTELE
Otter Harbor,2006-01-26,0,CINMS,ANTELE
Otter Harbor,2007-01-17,0,CINMS,ANTELE
Otter Harbor,2007-05-20,0,CINMS,ANTELE
Otter Harbor,2008-01-19,0,CINMS,ANTELE
Otter Harbor,2008-05-10,0,CINMS,ANTELE
Otter Harbor,2009-01-22,0,CINMS,ANTELE
Otter Harbor,2009-04-04,0,CINMS,ANTELE
Otter Harbor,2009-11-13,0,CINMS,ANTELE
Otter Harbor,2010-04-21,0,CINMS,ANTELE
Otter Harbor,2010-12-04,0,CINMS,ANTELE
Otter Harbor,2011-12-07,0,CINMS,ANTELE
Otter Harbor,2012-03-19,0,CINMS,ANTELE
Otter Harbor,2013-01-08,0,CINMS,ANTELE
Otter Harbor,2013-03-08,0,CINMS,ANTELE
Otter Harbor,2014-01-14,0,CINMS,ANTELE
Otter Harbor,2014-03-25,0,CINMS,ANTELE
Otter Harbor,2014-12-04,0.05,CINMS,ANTELE
Prisoners Harbor,2002-11-05,0.2,CINMS,ANTELE
Prisoners Harbor,2003-03-24,0.28,CINMS,ANTELE
Prisoners Harbor,2003-12-05,0.44,CINMS,ANTELE
Prisoners Harbor,2004-03-29,0.2,CINMS,ANTELE
Prisoners Harbor,2004-11-11,0.44,CINMS,ANTELE
Prisoners Harbor,2005-03-07,0.2,CINMS,ANTELE
Prisoners Harbor,2005-10-14,0.08,CINMS,ANTELE
Prisoners Harbor,2006-12-17,0.16,CINMS,ANTELE
Prisoners Harbor,2007-03-25,0.2,CINMS,ANTELE
Prisoners Harbor,2008-03-17,0.12,CINMS,ANTELE
Prisoners Harbor,2008-12-09,0.16,CINMS,ANTELE
Prisoners Harbor,2009-04-30,0.16,CINMS,ANTELE
Prisoners Harbor,2009-11-01,0.2,CINMS,ANTELE
Prisoners Harbor,2010-03-23,0.08,CINMS,ANTELE
Prisoners Harbor,2010-11-17,0.08,CINMS,ANTELE
Prisoners Harbor,2012-01-06,0.04,CINMS,ANTELE
Prisoners Harbor,2012-05-12,0.16,CINMS,ANTELE
Prisoners Harbor,2012-12-09,0.28,CINMS,ANTELE
Prisoners Harbor,2013-03-22,0.48,CINMS,ANTELE
Prisoners Harbor,2013-10-31,0.52,CINMS,ANTELE
Prisoners Harbor,2014-04-11,0.56,CINMS,ANTELE
Prisoners Harbor,2014-11-18,0.24,CINMS,ANTELE
Prisoners Harbor,2016-01-19,0.04,CINMS,ANTELE
S Frenchys Cove,2003-01-27,0,CINMS,ANTELE
S Frenchys Cove,2003-05-20,0,CINMS,ANTELE
S Frenchys Cove,2004-01-19,0,CINMS,ANTELE
S Frenchys Cove,2004-06-07,0,CINMS,ANTELE
S Frenchys Cove,2005-01-23,0,CINMS,ANTELE
S Frenchys Cove,2005-06-24,0,CINMS,ANTELE
S Frenchys Cove,2005-12-14,0,CINMS,ANTELE
S Frenchys Cove,2006-03-28,0,CINMS,ANTELE
S Frenchys Cove,2006-11-22,0,CINMS,ANTELE
S Frenchys Cove,2007-03-17,0,CINMS,ANTELE
S Frenchys Cove,2007-12-21,0,CINMS,ANTELE
S Frenchys Cove,2008-03-03,0,CINMS,ANTELE
S Frenchys Cove,2008-11-11,0,CINMS,ANTELE
S Frenchys Cove,2009-03-09,0,CINMS,ANTELE
S Frenchys Cove,2009-12-02,0,CINMS,ANTELE
S Frenchys Cove,2010-03-12,0,CINMS,ANTELE
S Frenchys Cove,2010-11-05,0,CINMS,ANTELE
S Frenchys Cove,2011-11-23,0,CINMS,ANTELE
S Frenchys Cove,2012-04-23,0.15,CINMS,ANTELE
S Frenchys Cove,2012-11-25,0.05,CINMS,ANTELE
S Frenchys Cove,2013-05-04,0,CINMS,ANTELE
S Frenchys Cove,2013-12-16,0.05,CINMS,ANTELE
S Frenchys Cove,2014-05-20,0.05263157894736842,CINMS,ANTELE
S Frenchys Cove,2014-11-03,0,CINMS,ANTELE
S Frenchys Cove,2015-11-11,0,CINMS,ANTELE
Scorpion Rock,2003-01-31,0,CINMS,ANTELE
Scorpion Rock,2003-05-22,0.12,CINMS,ANTELE
Scorpion Rock,2003-12-19,0.04,CINMS,ANTELE
Scorpion Rock,2004-03-16,0,CINMS,ANTELE
Scorpion Rock,2005-01-08,0.04,CINMS,ANTELE
Scorpion Rock,2005-04-19,0.08,CINMS,ANTELE
Scorpion Rock,2006-03-25,0.04,CINMS,ANTELE
Scorpion Rock,2007-03-14,0,CINMS,ANTELE
Scorpion Rock,2008-03-06,0,CINMS,ANTELE
Scorpion Rock,2008-11-25,0.24,CINMS,ANTELE
Scorpion Rock,2009-12-01,0.12,CINMS,ANTELE
Scorpion Rock,2010-03-28,0.04,CINMS,ANTELE
Scorpion Rock,2010-12-03,0.08,CINMS,ANTELE
Scorpion Rock,2011-11-22,0.08,CINMS,ANTELE
Scorpion Rock,2012-10-28,1.2,CINMS,ANTELE
Scorpion Rock,2012-10-29,0,CINMS,ANTELE
Scorpion Rock,2013-04-19,1,CINMS,ANTELE
Scorpion Rock,2013-12-13,2.68,CINMS,ANTELE
Scorpion Rock,2014-04-23,1.52,CINMS,ANTELE
Scorpion Rock,2014-12-19,1.5,CINMS,ANTELE
Scorpion Rock,2015-10-25,1,CINMS,ANTELE
Sea Lion Rookery,2002-11-20,0.4,CINMS,ANTELE
Sea Lion Rookery,2003-10-25,0.35,CINMS,ANTELE
Sea Lion Rookery,2004-11-11,0.06666666666666667,CINMS,ANTELE
Sea Lion Rookery,2004-11-12,0,CINMS,ANTELE
Sea Lion Rookery,2006-11-04,0.2,CINMS,ANTELE
Sea Lion Rookery,2007-10-26,0.2,CINMS,ANTELE
Sea Lion Rookery,2008-10-16,0.75,CINMS,ANTELE
Sea Lion Rookery,2009-10-16,1,CINMS,ANTELE
Sea Lion Rookery,2010-10-07,1.8,CINMS,ANTELE
Sea Lion Rookery,2011-10-24,4.55,CINMS,ANTELE
Sea Lion Rookery,2012-11-13,0.45,CINMS,ANTELE
Sea Lion Rookery,2013-10-19,0.75,CINMS,ANTELE
Sea Lion Rookery,2015-01-29,0.8,CINMS,ANTELE
Trailer,2002-11-02,0,CINMS,ANTELE
Trailer,2003-03-25,0,CINMS,ANTELE
Trailer,2003-12-09,0,CINMS,ANTELE
Trailer,2004-04-01,0.05,CINMS,ANTELE
Trailer,2004-11-13,0,CINMS,ANTELE
Trailer,2005-03-09,0,CINMS,ANTELE
Trailer,2005-10-15,0,CINMS,ANTELE
Trailer,2006-12-19,0,CINMS,ANTELE
Trailer,2007-03-27,0.047619047619047616,CINMS,ANTELE
Trailer,2008-03-19,0,CINMS,ANTELE
Trailer,2008-12-11,0,CINMS,ANTELE
Trailer,2009-04-27,0,CINMS,ANTELE
Trailer,2009-11-04,0,CINMS,ANTELE
Trailer,2010-03-26,0.045454545454545456,CINMS,ANTELE
Trailer,2010-11-18,0,CINMS,ANTELE
Trailer,2012-01-08,0.047619047619047616,CINMS,ANTELE
Trailer,2012-01-18,2,CINMS,ANTELE
Trailer,2012-05-09,0.047619047619047616,CINMS,ANTELE
Trailer,2012-12-10,0,CINMS,ANTELE
Trailer,2013-03-24,0.047619047619047616,CINMS,ANTELE
Trailer,2013-11-01,0,CINMS,ANTELE
Trailer,2014-04-08,0.045454545454545456,CINMS,ANTELE
Trailer,2014-11-22,0,CINMS,ANTELE
Trailer,2016-01-22,0,CINMS,ANTELE
Willows Anchorage,2002-11-04,0.15,CINMS,ANTELE
Willows Anchorage,2003-03-27,0.25,CINMS,ANTELE
Willows Anchorage,2003-12-07,0,CINMS,ANTELE
Willows Anchorage,2004-03-30,0.05,CINMS,ANTELE
Willows Anchorage,2004-11-14,0,CINMS,ANTELE
Willows Anchorage,2005-03-10,0.05,CINMS,ANTELE
Willows Anchorage,2005-10-16,0.05,CINMS,ANTELE
Willows Anchorage,2006-12-20,0.1,CINMS,ANTELE
Willows Anchorage,2007-03-28,0.1,CINMS,ANTELE
Willows Anchorage,2008-03-18,0.1,CINMS,ANTELE
Willows Anchorage,2008-12-11,0.1,CINMS,ANTELE
Willows Anchorage,2009-04-29,0.05,CINMS,ANTELE
Willows Anchorage,2009-11-02,0.1,CINMS,ANTELE
Willows Anchorage,2010-03-25,0.15,CINMS,ANTELE
Willows Anchorage,2010-11-22,0.15,CINMS,ANTELE
Willows Anchorage,2012-01-07,0.25,CINMS,ANTELE
Willows Anchorage,2012-05-11,0.65,CINMS,ANTELE
Willows Anchorage,2012-12-12,0.65,CINMS,ANTELE
Willows Anchorage,2013-03-23,0.55,CINMS,ANTELE
Willows Anchorage,2013-11-03,0.6,CINMS,ANTELE
Willows Anchorage,2014-04-10,0.9,CINMS,ANTELE
Willows Anchorage,2014-11-20,0.9,CINMS,ANTELE
Willows Anchorage,2016-01-23,0.25,CINMS,ANTELE
CINMS,2002-06-15,0.5495604395604395,CINMS,ANTELE
CINMS,2003-06-15,0.2712714402714403,CINMS,ANTELE
CINMS,2004-06-15,0.24791371904117002,CINMS,ANTELE
CINMS,2005-06-15,0.1464814814814815,CINMS,ANTELE
CINMS,2006-06-15,0.18911111111111112,CINMS,ANTELE
CINMS,2007-06-15,0.14017409114183307,CINMS,ANTELE
CINMS,2008-06-15,0.1963178563178563,CINMS,ANTELE
CINMS,2009-06-15,0.3087151813467603,CINMS,ANTELE
CINMS,2010-06-15,0.3242985432459117,CINMS,ANTELE
CINMS,2011-06-15,0.44271099744245523,CINMS,ANTELE
CINMS,2012-06-15,0.6148562848562849,CINMS,ANTELE
CINMS,2013-06-15,0.6877876984126984,CINMS,ANTELE
CINMS,2014-06-15,0.66890898160635,CINMS,ANTELE
CINMS,2015-06-15,0.43625,CINMS,ANTELE
CINMS,2016-06-15,0.3697972972972973,CINMS,ANTELE
Cat Rock,2003-01-28,1.9444444444444444,CINMS,ARTCOR
Cat Rock,2003-05-21,0.8055555555555556,CINMS,ARTCOR
Cat Rock,2004-01-20,1.3611111111111112,CINMS,ARTCOR
Cat Rock,2005-01-24,1.5833333333333333,CINMS,ARTCOR
Cat Rock,2005-06-24,0.3333333333333333,CINMS,ARTCOR
Cat Rock,2005-12-11,1.5833333333333333,CINMS,ARTCOR
Cat Rock,2006-11-20,2.361111111111111,CINMS,ARTCOR
